"","X","id","fsecurity","hhsize","female","kids","elderly","black","hispanic","education","employed","married","disability"
"167",167,20181102415600,0,2,1,0,0,0,0,1,2,2,0
"168",168,20181102416300,NA,3,1,1,0,0,0,2,2,2,0
"169",169,20181102417600,0,2,1,0,2,0,0,2,0,2,0
"170",170,20181102420400,0,1,1,0,1,0,0,0,0,0,1
"171",171,20181102420700,0,2,1,0,2,0,0,2,2,2,0
"172",172,20181102421700,NA,3,2,1,0,0,0,2,1,2,0
"173",173,20181102423400,NA,1,0,0,0,1,0,0,1,0,0
"174",174,20181102423700,0,2,1,0,1,0,0,2,2,0,0
"175",175,20181102425200,0,2,1,0,2,0,0,1,0,2,0
"176",176,20181102425400,0,1,0,0,0,0,0,0,1,0,0
"177",177,20181102425700,NA,3,2,1,0,0,0,2,2,2,0
"178",178,20181102425900,0,1,0,0,0,0,0,0,0,0,0
"179",179,20181102426200,0,1,0,0,1,0,0,1,0,0,1
"180",180,20181102426400,NA,3.4,3,2,0,0,0,1,3,2,0
"181",181,20181102426500,0,1,1,0,1,0,0,0,0,0,1
"182",182,20181102426600,NA,5,2,2,0,0,4,1,2,2,0
"183",183,20181102427100,0,1,1,0,1,0,0,0,0,0,1
"184",184,20181102427500,NA,2,1,0,0,0,0,2,2,0,0
"185",185,20181102428400,0,2,2,1,0,0,0,1,1,0,0
"186",186,20181102428900,0,3,2,0,2,0,0,2,1,2,0
"187",187,20181102431800,NA,1,1,0,0,0,0,0,1,0,0
"188",188,20181102432700,NA,1,0,0,0,0,0,0,0,0,0
"189",189,20181102433200,0,1,0,0,1,0,0,0,0,0,1
"190",190,20181102433800,NA,5,1,0,0,5,0,2,5,2,0
"191",191,20181102438800,0,2,1,0,0,0,0,0,2,2,0
"192",192,20181102439700,0,2,1,0,0,0,0,1,2,0,0
"193",193,20181102440400,0,1,0,0,0,0,0,0,1,0,0
"194",194,20181102444300,0,1,0,0,1,0,0,0,0,0,0
"195",195,20181102444800,0,1.66666666666667,2,1,0,0,0,0,2,0,0
"196",196,20181102444900,0,2,1,0,0,0,0,2,2,2,0
"197",197,20181102446200,0,2,1,0,2,0,0,1,0,2,1
"198",198,20181102447300,0,2,1,0,0,0,0,2,2,2,0
"199",199,20181102447900,0,2,1,0,0,0,0,1,2,2,0
"200",200,20181102448600,0,4,3,1,0,0,0,0,3,0,0
"201",201,20181102448800,0,2,1,0,1,0,0,1,2,2,1
"202",202,20181102449100,NA,5,2,2,0,0,2,2,3,2,0
"203",203,20181102449600,NA,4,3,3,0,0,0,0,1,0,0
"204",204,20181102450000,0,2,1,0,0,0,0,2,2,0,0
"205",205,20181202383100,0,1,1,0,1,0,0,1,0,0,0
"206",206,20181202384200,NA,3,2,1,0,0,0,2,2,2,0
"207",207,20181202384600,NA,1,1,0,1,0,0,1,0,0,0
"208",208,20181202387000,0,1,1,0,0,0,1,1,1,0,0
"209",209,20181202387800,0,2,1,0,2,0,0,0,0,2,0
"210",210,20181202389200,0,3,1,1,0,0,0,0,3,2,0
"211",211,20181202389500,0,2,1,0,2,0,0,0,0,2,1
"212",212,20181202390100,0,2,1,0,0,0,1,2,1,2,1
"213",213,20181202390200,0,5,2,2,0,0,0,2,4,2,0
"214",214,20181202390600,0,5,3,1,0,0,0,1,4,4,0
"215",215,20181202392400,4,5,4,3,0,0,0,0,1,2,0
"216",216,20181202393000,0,2,1,0,0,0,0,2,2,2,1
"217",217,20181202393300,NA,3,2,1,0,0,0,1,2,2,0
"218",218,20181202396300,0,1,1,0,0,0,0,0,1,0,0
"219",219,20181202397000,0,2,1,0,0,0,0,1,1,2,1
