"","GEOID","population","female","avg_hhsize","hispanic","black","kids","elderly","education","employed","married","disability","households"
"Block Group 2, Census Tract 4904, Lee County, Iowa","19111490400",972,473,1.96,26,0,146,232,271,525,450,155,495.918367346939
"Block Group 3, Census Tract 4902, Lee County, Iowa","19111490200",1094,498,1.94,126,47,170,258,216,579,476,196,563.917525773196
"Block Group 2, Census Tract 4902, Lee County, Iowa","19111490200",2536,939,2.7,197,288,451,255,407,763,981,198,939.259259259259
"Block Group 2, Census Tract 701, Butler County, Iowa","19023070100",1451,722,2.66,7,37,363,284,312,777,834,90,545.488721804511
"Block Group 1, Census Tract 702, Audubon County, Iowa","19009070200",598,321,1.99,0,0,106,100,116,374,210,55,300.502512562814
"Block Group 2, Census Tract 4804, Hardin County, Iowa","19083480400",1093,533,2.3,61,0,234,213,223,530,548,64,475.217391304348
"Block Group 2, Census Tract 4801, Hardin County, Iowa","19083480100",695,340,2.09,20,4,115,120,224,431,376,58,332.535885167464
"Block Group 2, Census Tract 4806, Hardin County, Iowa","19083480600",1079,487,2.42,7,6,242,174,205,501,488,82,445.867768595041
"Block Group 1, Census Tract 4806, Hardin County, Iowa","19083480600",721,410,2.07,17,0,148,197,256,341,250,63,348.309178743961
"Block Group 3, Census Tract 4805, Hardin County, Iowa","19083480500",850,436,2.42,3,0,184,230,209,396,440,82,351.239669421488
"Block Group 3, Census Tract 706, Clayton County, Iowa","19043070600",1071,550,1.99,7,0,192,308,212,530,552,130,538.190954773869
"Block Group 1, Census Tract 701, Clayton County, Iowa","19043070100",906,464,2.12,0,4,126,226,270,454,412,119,427.358490566038
"Block Group 2, Census Tract 704, Clayton County, Iowa","19043070400",961,493,2.23,0,4,188,302,241,459,497,122,430.941704035874
"Block Group 2, Census Tract 106, Linn County, Iowa","19113010600",3831,1857,2.74,27,68,1026,560,1508,2066,2068,215,1398.17518248175
"Block Group 3, Census Tract 2.07, Linn County, Iowa","19113000207",995,565,1.77,211,123,141,0,247,630,230,87,562.146892655367
"Block Group 2, Census Tract 137.06, Scott County, Iowa","19163013706",1933,954,3.17,11,35,637,218,947,927,996,87,609.779179810726
"Block Group 1, Census Tract 137.05, Scott County, Iowa","19163013705",2300,1206,2.34,154,0,513,372,968,993,811,187,982.905982905983
"Block Group 1, Census Tract 7802, Pocahontas County, Iowa","19151780200",1205,608,2,0,0,284,373,244,480,589,123,602.5
"Block Group 5, Census Tract 801, Davis County, Iowa","19051080100",449,213,1.73,14,0,46,104,200,268,258,44,259.537572254335
"Block Group 1, Census Tract 104.02, Scott County, Iowa","19163010402",1269,648,2.69,55,4,204,165,401,817,592,72,471.747211895911
"Block Group 1, Census Tract 104.01, Scott County, Iowa","19163010401",1010,509,2.6,16,37,265,151,274,521,407,64,388.461538461538
"Block Group 1, Census Tract 802, Cherokee County, Iowa","19035080200",796,386,2.27,3,15,130,182,277,479,509,93,350.660792951542
"Block Group 3, Census Tract 804, Cherokee County, Iowa","19035080400",538,232,1.94,0,0,74,123,199,314,348,46,277.319587628866
"Block Group 2, Census Tract 803, Cherokee County, Iowa","19035080300",855,349,2.12,0,0,188,215,237,435,433,88,403.301886792453
"Block Group 3, Census Tract 801, Cherokee County, Iowa","19035080100",620,297,1.92,0,0,106,84,109,400,346,43,322.916666666667
"Block Group 2, Census Tract 9604, Iowa County, Iowa","19095960400",1130,577,2.34,154,77,303,191,298,478,540,78,482.905982905983
"Block Group 1, Census Tract 9602, Grundy County, Iowa","19075960200",986,459,2.65,0,0,246,177,285,592,635,41,372.075471698113
"Block Group 4, Census Tract 9601, Grundy County, Iowa","19075960100",1012,501,2.12,4,0,197,215,341,484,503,120,477.358490566038
"Block Group 1, Census Tract 9604, Grundy County, Iowa","19075960400",1009,556,2.51,0,0,240,185,245,553,572,92,401.99203187251
"Block Group 3, Census Tract 9603, Grundy County, Iowa","19075960300",1094,542,2.56,5,22,348,186,402,523,537,74,427.34375
"Block Group 2, Census Tract 4904, Page County, Iowa","19145490400",1096,522,2.36,39,0,256,195,338,493,446,101,464.406779661017
"Block Group 1, Census Tract 901, Ida County, Iowa","19093090100",908,447,2.26,51,5,218,137,181,486,491,66,401.769911504425
"Block Group 2, Census Tract 902, Ida County, Iowa","19093090200",791,435,2.38,6,0,195,150,161,399,363,83,332.352941176471
"Block Group 4, Census Tract 9603, Benton County, Iowa","19011960300",1242,589,2.42,36,0,338,274,386,473,572,155,513.223140495868
